Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
SAMARTH,Teaser 2: Inventing Anna,Netflix Opera Other,2022-02-11 22:31:18,CA,"[{""eventType"":""start"",""sessionOffsetMs"":33,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":592,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":48105,""mediaOffsetMs"":47255},{""eventType"":""playing"",""sessionOffsetMs"":59343,""mediaOffsetMs"":58600},{""eventType"":""paused"",""sessionOffsetMs"":59351,""mediaOffsetMs"":58721},{""eventType"":""stopped"",""sessionOffsetMs"":68024,""mediaOffsetMs"":58731}]"
SAMARTH,Happy Gilmore_hook_primary_16x9,Netflix Opera Other,2022-02-11 00:33:58,CA,"[{""eventType"":""start"",""sessionOffsetMs"":46,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":788,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":8149,""mediaOffsetMs"":6845}]"
SAMARTH,Johnny English Reborn_hook_primary_16x9,Netflix Opera Other,2022-02-10 05:41:37,CA,"[{""eventType"":""start"",""sessionOffsetMs"":13,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":721,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":5472,""mediaOffsetMs"":4720},{""eventType"":""stopped"",""sessionOffsetMs"":5472,""mediaOffsetMs"":4720}]"
SAMARTH,Season 1 Main Character Intro Clip: Archive 81,Netflix Opera Other,2022-02-09 18:06:55,CA,"[{""eventType"":""start"",""sessionOffsetMs"":8,""mediaOffsetMs"":17197},{""eventType"":""playing"",""sessionOffsetMs"":2860,""mediaOffsetMs"":17197},{""eventType"":""paused"",""sessionOffsetMs"":4593,""mediaOffsetMs"":18630},{""eventType"":""playing"",""sessionOffsetMs"":7615,""mediaOffsetMs"":18878},{""eventType"":""stopped"",""sessionOffsetMs"":8058,""mediaOffsetMs"":19139}]"
SAMARTH,Season 1 Main Character Intro Clip: Archive 81,Netflix Opera Other,2022-02-09 18:06:29,CA,"[{""eventType"":""start"",""sessionOffsetMs"":7,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1939,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":19294,""mediaOffsetMs"":17196}]"
SAMARTH,Main Character Intro Clip: Disenchantment: Part 4,Netflix Opera Other,2022-02-09 18:06:24,CA,"[{""eventType"":""start"",""sessionOffsetMs"":7668,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":10661,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":10925,""mediaOffsetMs"":95}]"
SAMARTH,The Other Guys_hook_primary_16x9,Netflix Opera Other,2022-02-09 07:28:16,CA,"[{""eventType"":""start"",""sessionOffsetMs"":10295,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":12993,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":12993,""mediaOffsetMs"":1}]"
SAMARTH,Disenchantment: Part 1 (Trailer),Netflix Opera Other,2022-02-09 07:28:02,CA,"[{""eventType"":""start"",""sessionOffsetMs"":14,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":3119,""mediaOffsetMs"":1}]"
SAMARTH,We're the Millers,Netflix Opera Other,2022-02-09 06:21:08,CA,[]
SAMARTH,We're the Millers_hook_primary_16x9,Netflix Opera Other,2022-02-09 06:21:06,CA,"[{""eventType"":""start"",""sessionOffsetMs"":13,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":1683,""mediaOffsetMs"":1}]"
