Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
SAMARTH,Archive 81,thumb,,2,HTML 5,2022-01-22 04:23:38,
SAMARTH,Kyo Kii... Main Jhuth Nahin Bolta,thumb,,2,HTML 5,2022-01-14 08:29:07,
